recipe,calories,carbohydrates_g,cholesterol_mg,fat_g,protein_g,sodium_mg,url
Slow Cooker Mongolian Beef,450,55.4,47.5,13,28,2391.5,https://www.allrecipes.com/recipe/195083/slow-cooker-mongolian-beef/
Grape Jelly Meatballs,340,32.4,94.3,14.6,19.1,175.7,https://www.allrecipes.com/recipe/239824/grape-jelly-meatballs/
Salsa Verde Pork,313,3.6,106.4,14.6,38.5,237.6,https://www.allrecipes.com/recipe/240599/salsa-verde-pork/
Slow Cooker Bbq Pork Chops,544,30.4,105.6,35.6,23.2,1019.2,https://www.allrecipes.com/recipe/18397/slow-cooker-bbq-pork-chops/
French Dip Sandwiches,373,29.8,76.1,14.4,29.6,1172.9,https://www.allrecipes.com/recipe/14689/french-dip-sandwiches/
Slow Cooker Pot Roast With Malbec Red Wine,350,8.5,86.1,21.1,22.7,3076.2,https://www.allrecipes.com/recipe/241263/slow-cooker-pot-roast-with-malbec-red-wine/
Slow Cooker Chile Verde,265,12.1,64,12.4,22.5,765.2,https://www.allrecipes.com/recipe/81969/slow-cooker-chile-verde/
Cuban Ropa Vieja,261,9.9,47.6,15.8,20.5,599.2,https://www.allrecipes.com/recipe/79301/cuban-ropa-vieja/
Awesome Slow Cooker Pot Roast Plus Extras,402,9.9,140.3,13.4,57.1,480,https://www.allrecipes.com/recipe/236872/awesome-slow-cooker-pot-roast-plus-extras/
Slow Cooker Lentil And Ham Soup,222,26.3,19.7,6.1,15.1,1169.6,https://www.allrecipes.com/recipe/91605/slow-cooker-lentil-and-ham-soup/
Slow Cooker Mediterranean Lentil Stew,208,36.4,,2.1,12,193.9,https://www.allrecipes.com/recipe/282532/slow-cooker-mediterranean-lentil-stew/
Slow Cooker Steak Fajitas,598,68.9,51.8,22.8,28.2,1050.1,https://www.allrecipes.com/recipe/273820/slow-cooker-steak-fajitas/
Easy Slow Cooker French Dip,413,19.6,96,18.1,39.1,661.1,https://www.allrecipes.com/recipe/16239/easy-slow-cooker-french-dip/
Slow Cooker Chipotle Chili,402,33.7,65,18.3,28.1,1257.1,https://www.allrecipes.com/recipe/237576/slow-cooker-chipotle-chili/
Slow Cooker Risotto,316,42.3,7.8,11.9,7,524.6,https://www.allrecipes.com/recipe/228033/slow-cooker-risotto/
Slow Cooker Oxtail Stew,241,18.3,62.4,9.1,20.8,428,https://www.allrecipes.com/recipe/270818/slow-cooker-oxtail-stew/
Slow Cooker Chicken Tortilla Soup,262,24.7,45.4,10.8,18,893.4,https://www.allrecipes.com/recipe/89539/slow-cooker-chicken-tortilla-soup/
Slow Cooker Chicken With Stuffing,356,38.1,68.6,8.4,29.6,1465.8,https://www.allrecipes.com/recipe/228109/slow-cooker-chicken-with-stuffing/
Ham And Beans And More,459,39.9,47.5,22.3,25.5,944.6,https://www.allrecipes.com/recipe/214048/ham-and-beans-and-more/
Sweet Slow Cooker Ham,500,40.1,87.7,23.8,30.7,1689,https://www.allrecipes.com/recipe/222876/sweet-slow-cooker-ham/
Slow Cooker Buffalo Chicken Dip,120,3,34.9,7.8,9.2,370.6,https://www.allrecipes.com/recipe/270034/slow-cooker-buffalo-chicken-dip/
